"Record ID","Catalog Number","Match Taxon Concept GUID","Scientific Name","Vernacular Name","Matched Scientific Name","Taxon Rank - matched","Vernacular Name - matched","Kingdom - matched","Phylum - matched","Class - matched","Order - matched","Family - matched","Genus - matched","Species - matched","Institution Code","Collection Code","locality","Latitude - original","Longitude - original","geodetic Datum","Latitude - processed","Longitude - processed","Coordinate Uncertainty in Metres - parsed","Country - parsed","State - parsed","Local Government Areas","Collector","Year - parsed","Month - parsed","Event Date - parsed","Basis Of Record - original","Basis Of Record - processed","Sex","Outlier for layer","Taxon identification issue","Data Resource ID","Data Resource Name","assumed Present Occurrence Status","Coordinate precision not valid","Country inferred from coordinates","decimal Lat Long Converted","First of the month","First of the year","geodetic Datum Assumed Wgs 84","incomplete Collection Date","inferred Duplicate Record","Coordinate accuracy not valid"
"2d88432b-781c-48ab-88d2-cdf5090250b8","8307","urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2","Macropus giganteus","Eastern Grey Kangaroo","Macropus giganteus","species","","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","Macropus","Macropus giganteus","","","","-35.4798","148.899","GDA94","-35.48","148.899","500.0","Australia","Australian Capital Territory","Unincorporated ACT","","1993","01","1993-01-06","","","","","noIssue","dr2008","ACT Wildlife Atlas","true","false","true","true","false","false","false","false","false","false"
"05214e18-d911-49fe-a0fb-a60f00775520","8313","urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2","Macropus giganteus","Eastern Grey Kangaroo","Macropus giganteus","species","","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","Macropus","Macropus giganteus","","","","-35.5609","149.123","GDA94","-35.561","149.123","500.0","Australia","Australian Capital Territory","","","1994","01","1994-01-11","","","","","noIssue","dr2008","ACT Wildlife Atlas","true","false","true","true","false","false","false","false","false","false"
"f02d7876-e994-4563-b3a3-84cb5182c5f1","8314","urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2","Macropus giganteus","Eastern Grey Kangaroo","Macropus giganteus","species","","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","Macropus","Macropus giganteus","","","","-35.5739","149.098","GDA94","-35.574","149.098","500.0","Australia","Australian Capital Territory","","","1994","01","1994-01-11","","","","","noIssue","dr2008","ACT Wildlife Atlas","true","false","true","true","false","false","false","false","false","false"
"e2d68904-3d84-4e7f-ad99-69326840b3e8","8375","urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2","Macropus giganteus","Eastern Grey Kangaroo","Macropus giganteus","species","","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","Macropus","Macropus giganteus","","","","-35.5268","149.059","GDA94","-35.527","149.059","500.0","Australia","Australian Capital Territory","","","1992","01","1992-01-24","","","","","noIssue","dr2008","ACT Wildlife Atlas","true","false","true","true","false","false","false","false","false","false"
"662223f3-9787-44cc-8e7b-e5936567dd52","1895","urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2","Macropus giganteus","Eastern Grey Kangaroo","Macropus giganteus","species","","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","Macropus","Macropus giganteus","","","","-35.2935","148.992","GDA94","-35.293","148.992","200.0","Australia","Australian Capital Territory","","","1992","01","1992-01-15","","","","","noIssue","dr2008","ACT Wildlife Atlas","true","false","true","true","false","false","false","false","false","false"
"23718fdc-6d0a-4736-a6c8-f14481d36c0a","1903","urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2","Macropus giganteus","Eastern Grey Kangaroo","Macropus giganteus","species","","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","Macropus","Macropus giganteus","","","","-35.3526","149.07","GDA94","-35.35","149.07","200.0","Australia","Australian Capital Territory","Unincorporated ACT","","1992","01","1992-01-20","","","","","noIssue","dr2008","ACT Wildlife Atlas","true","false","true","true","false","false","false","false","false","false"
"8e873cf4-3de3-4a91-9b5b-bf3a31a1d44b","1909","urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2","Macropus giganteus","Eastern Grey Kangaroo","Macropus giganteus","species","","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","Macropus","Macropus giganteus","","","","-35.3221","149.062","GDA94","-35.322","149.062","200.0","Australia","Australian Capital Territory","","","1992","01","1992-01-10","","","","","noIssue","dr2008","ACT Wildlife Atlas","true","false","true","true","false","false","false","false","false","false"
"14c5d374-d096-4048-a64a-6b28126062d8","1922","urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2","Macropus giganteus","Eastern Grey Kangaroo","Macropus giganteus","species","","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","Macropus","Macropus giganteus","","","","-35.352","149.104","GDA94","-35.352","149.104","200.0","Australia","Australian Capital Territory","Unincorporated ACT","","1992","01","1992-01-02","","","","","noIssue","dr2008","ACT Wildlife Atlas","true","false","true","true","false","false","false","false","false","false"
"b9ce8485-9ba5-4adc-a31c-afe5000784f7","496","urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2","Macropus giganteus","Eastern Grey Kangaroo","Macropus giganteus","species","","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","Macropus","Macropus giganteus","","","","-35.2236","149.179","GDA94","-35.224","149.179","50.0","Australia","Australian Capital Territory","","","1990","01","1990-01-19","","","","","noIssue","dr2008","ACT Wildlife Atlas","true","false","true","true","false","false","false","false","false","false"
"35ee311d-0be1-47d8-b841-77efc31ebd36","1547","urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2","Macropus giganteus","Eastern Grey Kangaroo","Macropus giganteus","species","","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","Macropus","Macropus giganteus","","","","-35.3017","148.99","GDA94","-35.3","148.99","200.0","Australia","Australian Capital Territory","","","1993","01","1993-01-06","","","","","noIssue","dr2008","ACT Wildlife Atlas","true","false","true","true","false","false","false","false","false","false"
